ID,Seed,Levels,Wall_ins_thickness,Roof_ins_thickness,Ground_ins_thickness,Wnd_density_south,Wnd_density_north,Wnd_density_west,Wnd_density_east,Window_Option,Shading,Exterior_Surface,Form_factor,Windows,Walls,Win north area,Win south area,Win west area,Win east area,Wall area,Roof area,Ground area,imgName,Total CO2,MaterialCO2,OperationCO2,CO2 End of Life,Climate-location,Construction-preset,C3C4 MaterialCO2,D Material CO2,img
49,15720,3,0.17,0.25,0.1,0.287786,0.220502,0.32971,0.27787,1,0,3695.234516,2.309522,388.06013,1443.853643,112.298425,146.565408,70.109752,59.086545,1055.793513,1125.690437,1125.690437,s15671i49d33.jpg,1101500,202619.694158,898903.780184,15289.720723,0,2,40276.980807,-58391.308504,ID49.png
50,15721,4,0.17,0.25,0.1,0.287786,0.220502,0.234195,0.27787,1,0,2953.148749,1.845718,427.427121,1679.675746,153.2053,199.954694,33.966345,40.300782,1252.248626,636.736501,636.736501,s15671i50d112.jpg,983606.590201,168911.476837,814695.113364,10717.755382,0,2,34157.774048,-41477.614084,ID50.png
51,15722,3,0.17,0.25,0.1,0.470635,0.298865,0.234195,0.27787,1,0,3464.764649,2.165478,455.036722,1318.015474,136.504831,214.959378,47.369272,56.203241,862.978752,1073.374588,1073.374588,s15671i51d36.jpg,1105900,201393.412784,904540.921481,14687.230863,0,2,37487.307878,-56292.770097,ID51.png
52,15723,4,0.17,0.25,0.1,0.470635,0.298865,0.234195,0.182355,1,0,3402.09413,2.126309,558.213243,1698.710307,173.090566,272.572334,63.278603,49.271739,1140.497064,851.691911,851.691911,s15671i52d112.jpg,1414300,525430.581672,888819.8504,46330.685859,1,0,10173.006538,-46429.522305,ID52.png
53,15724,3,0.17,0.25,0.1,0.303484,0.227229,0.33868,0.182355,1,0,4031.468343,2.519668,363.491812,1379.591496,95.888302,128.06687,90.700699,48.835941,1016.099684,1325.938424,1325.938424,s15671i53d39.jpg,1498300,562390.356418,935899.918633,53673.082251,1,0,11754.1805,-61237.6889,ID53.png
54,15725,5,0.17,0.25,0.1,0.303484,0.227229,0.33868,0.182355,1,0,3051.692641,1.907308,498.604201,1886.807909,165.706317,221.314687,72.530583,39.052613,1388.203709,582.442366,582.442366,s15671i54d150.jpg,1304400,526637.384812,777777.076786,43427.043733,1,0,10108.119581,-43964.212827,ID54.png
55,15726,3,0.17,0.25,0.1,0.486333,0.227229,0.33868,0.182355,1,0,3408.568354,2.130355,414.308516,1283.038075,94.484188,202.221932,76.443144,41.159251,868.72956,1062.765139,1062.765139,s15671i55d45.jpg,1249700,490105.35355,759634.458772,44277.798608,1,0,9875.526222,-53159.039632,ID55.png
56,15727,5,0.17,0.25,0.1,0.486333,0.155593,0.243165,0.28684,1,0,2165.138791,1.353212,423.065079,1397.14874,73.426759,229.50783,55.115537,65.014953,974.083662,383.995025,383.995025,s15671i56d160.jpg,1002900,397266.801848,605634.037993,30581.91644,1,0,7373.138112,-36509.841614,ID56.png
57,15728,3,0.17,0.25,0.1,0.319181,0.155593,0.243165,0.28684,1,0,2778.596073,1.736623,301.838436,1240.651121,75.886583,155.67269,32.243886,38.035277,938.812685,768.972476,768.972476,s15671i57d48.jpg,828633.239323,173052.117841,655581.121482,11743.7418,0,2,30513.231132,-46219.827141,ID57.png
58,15729,5,0.17,0.25,0.1,0.319181,0.233957,0.34765,0.28684,1,0,3539.722928,2.212327,612.041831,2158.189784,208.883592,284.974635,64.755173,53.428431,1546.147953,690.766572,690.766572,s15671i58d170.jpg,1282600,193440.861563,1089200,12761.827937,0,2,43474.208593,-49151.761392,ID58.png
